qtr,project_name,postal_district,25th_percentile,median,75th_percentile,rental_contracts
2020-Q4,KINGSFORD . HILLVIEW PEAK,23,3.19,3.61,3.79,35
2020-Q4,KINGSFORD WATERBAY,19,2.98,3.27,3.61,45
2020-Q4,KOVAN MELODY,19,2.6,2.71,2.95,39
2020-Q4,KOVAN REGENCY,19,3.03,3.19,3.72,29
2020-Q4,KOVAN RESIDENCES,19,2.78,2.91,3.14,36
2020-Q4,KUM HING COURT,10,2.03,2.09,2.22,24
2020-Q4,L'VIV,11,4.29,4.56,4.67,23
2020-Q4,LA BRISA,14,3.61,3.78,3.97,11
2020-Q4,LA FIESTA,19,2.85,3.07,3.2,86
2020-Q4,LA FLEUR,14,3.65,4.03,4.29,12
2020-Q4,LA SUISSE,11,1.83,1.91,2.12,16
2020-Q4,LA VIDA @ 130,15,3.68,3.74,3.91,11
2020-Q4,LAKE GRANDE,22,3.74,4.11,4.58,56
2020-Q4,LAKEPOINT CONDOMINIUM,22,1.58,2.2,2.37,13
2020-Q4,LAKEVILLE,22,3.15,3.39,3.62,67
2020-Q4,LE CRESCENDO,14,2.64,2.67,2.77,19
2020-Q4,LE HILL CONDOMINIUM,5,2.58,2.62,2.7,12
2020-Q4,LE QUEST,23,3.64,3.93,4.05,58
2020-Q4,LE REGAL,14,2.95,3.8,4.1,17
2020-Q4,LEEDON 2,10,3.31,3.55,3.65,10
2020-Q4,LEEDON RESIDENCE,10,3.83,4.13,4.4,21
2020-Q4,LEONIE CONDOTEL,9,3.11,3.17,3.29,18
2020-Q4,LEONIE SUITES,9,3.97,4.06,4.39,15
2020-Q4,LINCOLN SUITES,11,4.33,5.12,5.62,25
2020-Q4,LIV ON SOPHIA,9,5.12,5.39,5.65,13
2020-Q4,LIV ON WILKIE,9,4.12,4.99,5.42,10
2020-Q4,LIVIA,18,2.16,2.32,2.5,28
2020-Q4,LOFT @ NATHAN,10,3.32,4.37,4.76,17
2020-Q4,LOFT @ STEVENS,10,4.59,5.04,5.45,10
2020-Q4,LOFT@HOLLAND,10,5.57,6.5,6.97,11
2020-Q4,LOTUS AT JOO CHIAT,15,3.61,3.72,4.13,10
2020-Q4,LOTUS AT PAYA LEBAR (EAST WING),14,2.98,3.35,4.4,18
2020-Q4,LOYANG VALLEY,17,1.39,1.58,1.74,18
2020-Q4,LUCKY PLAZA APARTMENTS,9,3.24,3.38,3.57,10
2020-Q4,LUMA,9,3.64,3.84,4.04,17
2020-Q4,LUMIERE,2,4.04,4.34,4.75,37
2020-Q4,MACKENZIE 88,9,3.35,3.9,4.53,13
2020-Q4,MANDARIN GARDENS,15,2.14,2.36,2.73,57
2020-Q4,MAPLE WOODS,21,2.5,2.71,2.91,36
2020-Q4,MARINA BAY RESIDENCES,1,5.05,5.33,5.84,58
2020-Q4,MARINA BAY SUITES,1,4,4.19,4.4,32
2020-Q4,MARINA ONE RESIDENCES,1,4.51,4.78,5.11,151
2020-Q4,MARINE BLUE,15,3.98,4.22,4.45,14
2020-Q4,MARTIN NO 38,9,5.35,5.57,5.8,10
2020-Q4,MARTIN PLACE RESIDENCES,9,4.36,4.54,5.08,28
2020-Q4,MAYSPRINGS,23,1.95,2.27,2.55,42
2020-Q4,MEADOWS @ PEIRCE,26,1.97,2.19,2.33,23
2020-Q4,MELROSE PARK,10,3.42,3.51,3.55,12
2020-Q4,MELVILLE PARK,18,2.14,2.3,2.4,82
2020-Q4,MERAPRIME,3,3.95,4.23,4.4,20
2020-Q4,MI CASA,23,2.14,2.2,2.33,16
2020-Q4,MIDTOWN RESIDENCES,19,3.2,3.64,3.87,17
2020-Q4,MILL POINT,10,4.15,4.27,4.65,13
2020-Q4,MIRAGE TOWER,9,2.77,3.34,4.21,25
2020-Q4,MON JERVOIS,10,3.58,3.8,4.01,13
2020-Q4,MOUNT SOPHIA SUITES,9,4.22,4.44,4.84,10
2020-Q4,MY MANHATTAN,18,3.08,3.25,3.8,39
2020-Q4,NATURA@HILLVIEW,23,3.12,3.62,3.75,23
2020-Q4,NEEM TREE,12,4,4.22,4.39,11
2020-Q4,NEPTUNE COURT,15,1.65,1.81,1.93,21
2020-Q4,NEWEST,5,3.46,3.54,3.79,13
2020-Q4,NEWTON EDGE,9,3.38,4,4.64,19
2020-Q4,NEWTON GEMS,11,3.4,3.45,3.63,24
2020-Q4,NIN RESIDENCE,13,3.01,3.32,4.1,27
2020-Q4,NINE RESIDENCES,27,3.01,3.15,3.3,11
2020-Q4,NORTH PARK RESIDENCES,27,3.62,3.9,4.4,42
2020-Q4,NORTHVALE,23,2.02,2.12,2.34,34
2020-Q4,NOTTINGHILL SUITES,21,3.7,4.15,4.36,26
2020-Q4,NOUVEL 18,10,5.13,5.39,5.55,15
2020-Q4,NOVA 88,12,2.96,3.13,3.65,13
2020-Q4,NOVENA COURT,11,2.76,3.02,3.19,19
2020-Q4,NOVENA LODGE,11,2.88,2.98,3.15,10
2020-Q4,NOVENA REGENCY,11,3.25,3.99,4.66,10
2020-Q4,NV RESIDENCES,18,2.38,2.5,2.76,40
2020-Q4,OASIS @ ELIAS,18,2.2,2.28,2.4,18
2020-Q4,OCEAN PARK,15,2.15,2.25,2.37,16
2020-Q4,OKIO,12,4.03,4.21,4.59,19
2020-Q4,OLEANDER TOWERS,12,2.68,2.9,2.92,16
2020-Q4,ONE-NORTH RESIDENCES,5,3.76,4.05,4.39,45
2020-Q4,ONE AMBER,15,3.02,3.34,3.55,45
2020-Q4,ONE DEVONSHIRE,9,4.89,5.02,5.28,11
2020-Q4,ONE DUSUN RESIDENCES,12,3.73,3.79,4.19,24
2020-Q4,ONE JERVOIS,10,3.53,3.81,3.86,20
2020-Q4,ONE LEICESTER,13,2.63,2.68,2.94,11
2020-Q4,ONE SHENTON,1,3.94,4.28,5.12,46
2020-Q4,ONE ST MICHAEL'S,12,2.49,2.7,2.87,11
2020-Q4,OPTIMA @ TANAH MERAH,16,2.93,3.18,3.57,37
2020-Q4,ORCHARD SCOTTS,9,3.87,4.08,4.82,10
2020-Q4,ORCHARD TOWERS,9,1.93,2.06,2.25,14
2020-Q4,ORCHID PARK CONDOMINIUM,27,1.88,2.06,2.19,35
2020-Q4,OUE TWIN PEAKS,9,5.28,5.52,5.83,68
2020-Q4,PALM GARDENS,23,1.91,2.01,2.08,18
2020-Q4,PALM ISLES,17,2.48,2.67,3.11,36
2020-Q4,PALM SPRING,10,2.69,2.79,2.85,12
2020-Q4,PANDAN VALLEY,21,1.72,1.88,1.99,31
2020-Q4,PARBURY HILL CONDOMINIUM,16,2.13,2.2,2.29,11
2020-Q4,PARC CENTROS,19,2.62,3.01,3.78,42
2020-Q4,PARC ELEGANCE,15,3.77,3.96,4.21,10
2020-Q4,PARC EMILY,9,3.82,4.05,4.19,35
2020-Q4,PARC IMPERIAL,5,4.36,4.7,5.02,30
2020-Q4,PARC OASIS,22,2.12,2.28,2.45,49
2020-Q4,PARC OLYMPIA,17,2.26,2.6,2.88,35
2020-Q4,PARC PALAIS,21,1.94,2.14,2.42,25
2020-Q4,PARC RIVIERA,5,3.52,3.66,4.03,53
2020-Q4,PARC ROSEWOOD,25,3.16,3.48,3.72,59
2020-Q4,PARC SOPHIA,9,3.72,3.92,4.4,27
2020-Q4,PARC VERA,19,2.53,2.67,2.83,19
2020-Q4,PARC VISTA,22,2.18,2.24,2.39,47
2020-Q4,PARK EAST,15,2.05,2.25,2.29,11
2020-Q4,PARK INFINIA AT WEE NAM,11,4.01,4.32,4.69,46
2020-Q4,PARK PLACE RESIDENCES AT PLQ,14,4.5,4.65,5.16,88
2020-Q4,PARKSHORE,15,2.28,2.44,2.81,14
2020-Q4,PARKVIEW APARTMENTS,23,2.12,2.23,2.37,23
2020-Q4,PARVIS,10,3.79,3.88,4.12,27
2020-Q4,PASTORAL VIEW,11,3.03,3.38,4.01,15
2020-Q4,PATERSON RESIDENCE,9,3.94,4.01,4.45,12
2020-Q4,PAVILION 11,11,3,3.27,3.64,12
2020-Q4,PEBBLE BAY,15,2.83,3.08,3.25,38
2020-Q4,PEOPLE'S PARK COMPLEX,1,3.41,3.91,4.37,22
2020-Q4,POLLEN & BLEU,10,4.02,4.29,4.65,11
2020-Q4,PRESTIGE HEIGHTS,12,4.23,4.69,5.04,18
2020-Q4,PRIMO RESIDENCES,19,2.25,2.75,3.03,10
2020-Q4,PRINCIPAL GARDEN,3,4.16,4.73,5.07,28
2020-Q4,Q BAY RESIDENCES,18,2.5,2.71,3.16,56
2020-Q4,QUEENS,3,3.01,3.17,3.37,46
2020-Q4,QUEENS PEAK,3,4.13,4.35,5.09,114
2020-Q4,QUESTA @ DUNMAN,15,3.18,3.44,3.48,13
2020-Q4,RAFFLESIA CONDOMINIUM,20,2.65,2.74,2.84,14
2020-Q4,REFLECTIONS AT KEPPEL BAY,4,3.84,4.04,4.37,133
2020-Q4,REGENCY PARK,10,2.57,2.83,3.19,21
2020-Q4,REGENT GROVE,23,1.96,2,2.14,23
2020-Q4,REGENT HEIGHTS,23,2.08,2.15,2.38,26
2020-Q4,REGENT PARK,5,2.66,2.71,2.88,17
2020-Q4,REGENT RESIDENCES,12,2.97,3.12,3.88,27
2020-Q4,REGENTVILLE,19,2.18,2.31,2.45,22
2020-Q4,RESIDENCES @ EVELYN,11,3.53,3.6,3.72,20
2020-Q4,REZI 26,14,3.27,3.53,4.09,17
2020-Q4,REZI 35,14,3.38,3.51,4.19,12
2020-Q4,RIDGEWOOD,10,1.97,2.17,2.32,31
2020-Q4,RIPPLE BAY,18,2.58,2.97,3.34,45
2020-Q4,RIS GRANDEUR,18,1.92,1.95,2.04,14
2020-Q4,RIVER ISLES,19,2.25,2.52,2.63,17
2020-Q4,RIVER PLACE,3,3.39,3.61,3.87,66
2020-Q4,RIVERBANK @ FERNVALE,28,2.81,2.9,3.05,17
2020-Q4,RIVEREDGE,15,3.38,3.51,3.6,12
2020-Q4,RIVERGATE,9,4.19,4.41,4.77,47
2020-Q4,RIVERSAILS,19,2.35,2.49,2.79,53
2020-Q4,RIVERSIDE 48,9,3.3,3.54,3.83,16
2020-Q4,RIVERSOUND RESIDENCE,19,2.22,2.45,2.69,16
2020-Q4,RIVERTREES RESIDENCES,28,2.86,3.09,3.36,20
2020-Q4,RIVERVALE CREST,19,1.94,2.07,2.14,17
2020-Q4,RIVERWALK APARTMENTS,1,3.19,3.41,3.53,10
2020-Q4,RIVIERA 38,12,2.72,3.57,4.31,10
2020-Q4,ROBERTSON 100,9,3.74,3.92,4.22,26
2020-Q4,ROBIN RESIDENCES,10,4.2,4.74,5.34,23
2020-Q4,ROBIN SUITES,10,4.97,5.19,5.29,14
2020-Q4,ROBINSON SUITES,1,5.16,5.53,5.86,40
2020-Q4,ROCHELLE AT NEWTON,11,3.54,3.72,4.08,12
2020-Q4,ROSEWOOD,25,2.09,2.16,2.26,14
2020-Q4,RV EDGE,10,5.06,5.55,5.74,27
2020-Q4,RV RESIDENCES,10,4.3,4.57,5.6,25
2020-Q4,RV SUITES,10,4.06,4.45,4.84,13
2020-Q4,SANCTUARY GREEN,15,2.69,2.83,3.14,32
2020-Q4,SANT RITZ,13,3.59,3.86,4.07,27
2020-Q4,SAVANNAH CONDOPARK,18,2.04,2.19,2.35,18
2020-Q4,SCOTTS 28,9,3.26,3.38,3.55,13
2020-Q4,SCOTTS SQUARE,9,5.81,6.3,7.17,38
2020-Q4,SEA ESTA,18,2.28,2.42,2.81,26
2020-Q4,SEAHILL,5,3.69,3.83,4.35,31
2020-Q4,SEASCAPE,4,4.02,4.1,4.32,15
2020-Q4,SEASONS PARK,26,2.01,2.09,2.16,12
2020-Q4,SEASONS VIEW,20,2.45,2.56,2.63,12
2020-Q4,SEASTRAND,18,2.31,2.49,3.01,31
2020-Q4,SELETAR PARK RESIDENCE,28,2.4,2.73,3.29,30
2020-Q4,SELETARIS,27,1.58,1.76,1.94,15
2020-Q4,SENNETT RESIDENCE,13,3.25,3.52,3.72,41
2020-Q4,SERENITY PARK,28,1.85,2.06,2.11,13
2020-Q4,SEVENTY SAINT PATRICK'S,15,3.39,3.54,3.64,13
2020-Q4,SHANGRI-LA RESIDENCES,10,5.19,5.46,6.41,10
2020-Q4,SHERWOOD TOWER,21,1.78,1.92,2.32,10
2020-Q4,SIGLAP V,15,3.1,3.39,3.66,23
2020-Q4,SIGNATURE PARK,21,1.99,2.13,2.23,56
2020-Q4,SILVERSEA,15,3.82,4.06,4.28,36
2020-Q4,SIMS EDGE,14,3.83,4.15,4.25,11
2020-Q4,SIMS URBAN OASIS,14,3.9,4.21,4.65,74
2020-Q4,SIMSVILLE,14,2.59,2.76,2.89,25
2020-Q4,SKIES MILTONIA,27,2.69,3.03,3.32,26
2020-Q4,SKY GREEN,13,3.29,4.01,4.32,22
2020-Q4,SKY HABITAT,20,3.32,3.43,3.8,28
2020-Q4,SKY VUE,20,3.72,4.13,4.57,53
2020-Q4,SKY@ELEVEN,11,3.18,3.3,3.39,15
2020-Q4,SKYLINE RESIDENCES,4,3.72,4.1,4.83,29
2020-Q4,SKYSUITES@ANSON,2,5.84,6.28,6.67,68
2020-Q4,SKYSUITES17,12,3.98,4.4,4.93,13
2020-Q4,SMART SUITES,14,3.68,3.91,4.22,16
